supermarket,category,name,description,price,reference_price,reference_unit,insert_date
433463D95980C252B92C204E3655BB81,bebidas_aguas_y_zumos_zumos_no_refrigerados,Zumo de zanahoria y aloe ecológico Delizum botella 1 l.,1 L.,2.65,2.65,l,2020-10-26 00:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_todos_los_vinos,Vino tinto de mesa Carrefour brik 1 l.,,0.8,0.8,l,2021-01-10 00:00:00
433463D95980C252B92C204E3655BB81,mascotas_perros_champus,Desodorante suavizante Champú 2en1 para perros Dixie 750 Ml,750 Ml,5.42,,,2020-07-18 04:00:00
433463D95980C252B92C204E3655BB81,la_despensa_dulce_y_desayuno_cafes,"Café sontuoso en cápsulas L'Or Espresso compatible con Nespresso 20 unidades de 5,2 g.",,6.35,61.06,kg,2020-12-28 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,cereales_y_galletas_galletas,Galletas Cookies Hacendado,Paquete,0.85,3.78,kg,2020-09-05 04:00:00
433463D95980C252B92C204E3655BB81,parafarmacia_botiquin_antimosquitos,Crema calmante contra la picadura de insectos para niños After Bite 20 g.,,7.5,,,2020-07-16 16:00:00
433463D95980C252B92C204E3655BB81,bebidas_licores_y_cremas_anis_y_chinchon,Anís La Castellana dulce 70 cl.,,7.65,10.93,l,2021-01-10 12:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_papeleria_pequeno_accesorio,Cola Universal Pritt  100gr,1 Ud.,4.99,4.99,ud,2020-11-05 00:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_cabello_cuidado_y_tratamientos_del_cabello,Mascarilla capilar intensiva Suave & Liso para cabello normal-grueso Pantene 300 ml.,300 Ml.,4.25,1.42,100 ml,2020-10-01 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_aperitivos_aceitunas_y_encurtidos,Aceitunas verdes partidas aliñadas Acoal 280 g,280 G.,2.5,10.0,kg,2020-12-15 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas,Café con leche descafeinado Hacendado,Vaso,0.75,3.0,L,2020-09-16 16:00:00
433463D95980C252B92C204E3655BB81,parafarmacia_higiene_bucal_frescor_y_aliento,Irrigador oral WP450 Waterpik 1 ud.,1 Ud.,95.4,95.4,ud,2020-10-08 17:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_utensilios_de_limpieza_guantes,Guante Desechable Vinilo SPONTEX Protect Talla 8 100 ud,100 Ud.,11.95,11.95,ud,2020-11-06 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,agua_y_refrescos_refresco_de_te_y_sin_gas,Refresco sandía Gold Spring cero sin gas,Botella,0.95,0.48,L,2020-12-11 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,panaderia_y_pasteleria_harina_y_preparado_reposteria,Gasificante repostería casera Hacendado,Caja,0.49,1.11,100 g,2020-12-30 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_aperitivos_frutos_secos,Nuez mondada Carrefour tarrina 150 g,,3.25,21.67,kg,2020-12-23 12:00:00
433463D95980C252B92C204E3655BB81,el_mercado_panaderia_bolleria_y_pasteleria_masa_fresca_y_bases,Masa Pizza Carrefour 260 g.,260 G.,1.14,4.38,kg,2020-11-26 00:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_cosmetica_rostro,Base líquida Lasting Performance 102 Pastelle Max Factor 1 ud.,1 Ud.,13.95,13.95,ud,2020-12-11 12:00:00
